tree_id,split,n_dets,naive_total,naive_B1,naive_B2,naive_B3,naive_B4,active_B1,active_B2,active_B3,active_B4,max_B3,ratio_B3_total,ratio_B4_total,ratio_B1_total,pass_selector_iter7,pass_geometric_mean_blend,pass_visibility,pass_side_coverage,pass_median3_floor,pass_density_scaled_vis
DAMIMAS_A21B_0128,train,17,17,0,2,10,5,0,2,4,4,3,0.5882352941176471,0.29411764705882354,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0129,train,10,10,0,0,8,2,0,0,4,2,2,0.8,0.2,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0130,train,16,16,2,2,4,8,2,2,2,4,2,0.25,0.5,0.125,1,1,1,1,1,1
DAMIMAS_A21B_0131,train,18,18,0,2,12,4,0,2,4,3,5,0.6666666666666666,0.2222222222222222,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0132,train,17,17,3,2,2,10,3,2,2,4,1,0.11764705882352941,0.5882352941176471,0.17647058823529413,1,1,1,1,1,1
DAMIMAS_A21B_0133,train,21,21,0,0,17,4,0,0,4,2,5,0.8095238095238095,0.19047619047619047,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0134,train,15,15,0,5,10,0,0,4,4,0,3,0.6666666666666666,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0135,train,22,22,0,12,6,4,0,4,4,3,2,0.2727272727272727,0.18181818181818182,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0136,train,22,22,0,0,15,7,0,0,4,4,4,0.6818181818181818,0.3181818181818182,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0137,train,20,20,0,3,17,0,0,2,4,0,5,0.85,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0138,train,15,15,0,3,8,4,0,3,4,3,2,0.5333333333333333,0.26666666666666666,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0139,train,20,20,0,4,13,3,0,3,4,3,5,0.65,0.15,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0140,train,27,27,2,6,8,11,2,4,4,4,2,0.2962962962962963,0.4074074074074074,0.07407407407407407,1,1,1,1,1,1
DAMIMAS_A21B_0141,train,22,22,0,0,17,5,0,0,4,4,5,0.7727272727272727,0.22727272727272727,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0142,train,9,9,0,1,6,2,0,1,4,2,2,0.6666666666666666,0.2222222222222222,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0143,train,19,19,0,0,17,2,0,0,4,2,5,0.8947368421052632,0.10526315789473684,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0144,val,19,19,0,2,13,4,0,2,4,3,4,0.6842105263157895,0.21052631578947367,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0145,val,20,20,2,0,10,8,2,0,4,4,3,0.5,0.4,0.1,1,1,1,1,1,1
DAMIMAS_A21B_0146,val,23,23,0,7,12,4,0,4,4,4,3,0.5217391304347826,0.17391304347826086,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0147,val,26,26,0,4,18,4,0,4,4,4,5,0.6923076923076923,0.15384615384615385,0.0,0,0,1,1,1,1
DAMIMAS_A21B_0148,val,18,18,0,6,6,6,0,4,4,4,2,0.3333333333333333,0.3333333333333333,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0149,val,23,23,0,3,18,2,0,3,4,2,5,0.782608695652174,0.08695652173913043,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0150,val,27,27,0,5,16,6,0,4,4,4,5,0.5925925925925926,0.2222222222222222,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0151,val,23,23,0,2,13,8,0,2,4,4,4,0.5652173913043478,0.34782608695652173,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0152,val,24,24,0,5,13,6,0,4,4,4,4,0.5416666666666666,0.25,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0153,val,17,17,0,0,15,2,0,0,4,2,5,0.8823529411764706,0.11764705882352941,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0154,val,26,26,0,4,8,14,0,4,4,4,3,0.3076923076923077,0.5384615384615384,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0155,val,23,23,1,7,10,5,1,4,4,4,3,0.43478260869565216,0.21739130434782608,0.043478260869565216,1,1,1,1,1,1
DAMIMAS_A21B_0156,val,19,19,1,3,9,6,1,3,4,4,3,0.47368421052631576,0.3157894736842105,0.05263157894736842,1,1,1,1,1,1
DAMIMAS_A21B_0157,val,26,26,0,7,13,6,0,4,4,4,4,0.5,0.23076923076923078,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0158,val,19,19,0,4,10,5,0,4,4,4,3,0.5263157894736842,0.2631578947368421,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0159,val,9,9,1,0,2,6,1,0,2,4,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,1,1,1,1,1,1
DAMIMAS_A21B_0160,val,14,14,0,7,7,0,0,4,4,0,3,0.5,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0161,val,24,24,0,0,19,5,0,0,4,4,6,0.7916666666666666,0.20833333333333334,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0162,val,18,18,0,0,12,6,0,0,4,4,3,0.6666666666666666,0.3333333333333333,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0163,val,32,32,3,2,17,10,3,2,4,4,5,0.53125,0.3125,0.09375,0,0,1,1,1,1
DAMIMAS_A21B_0164,val,24,24,0,2,12,10,0,2,4,4,4,0.5,0.4166666666666667,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0165,val,24,24,0,7,11,6,0,4,4,3,3,0.4583333333333333,0.25,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0166,val,18,18,2,3,11,2,2,3,4,1,3,0.6111111111111112,0.1111111111111111,0.1111111111111111,1,1,1,1,1,1
DAMIMAS_A21B_0167,val,22,22,4,5,7,6,3,4,4,4,3,0.3181818181818182,0.2727272727272727,0.18181818181818182,1,1,1,1,1,1
DAMIMAS_A21B_0168,val,24,24,2,3,9,10,2,3,4,4,3,0.375,0.4166666666666667,0.08333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0169,val,29,29,0,2,21,6,0,2,4,4,7,0.7241379310344828,0.20689655172413793,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0170,val,26,26,2,2,10,12,2,2,4,4,3,0.38461538461538464,0.46153846153846156,0.07692307692307693,0,0,1,1,1,1
DAMIMAS_A21B_0171,val,14,14,0,0,13,1,0,0,4,1,4,0.9285714285714286,0.07142857142857142,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0172,val,22,22,2,0,12,8,2,0,4,4,5,0.5454545454545454,0.36363636363636365,0.09090909090909091,1,1,1,1,1,1
DAMIMAS_A21B_0173,val,24,24,1,3,18,2,1,3,4,2,5,0.75,0.08333333333333333,0.041666666666666664,1,1,1,1,1,1
DAMIMAS_A21B_0174,val,28,28,0,4,17,7,0,4,4,4,5,0.6071428571428571,0.25,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0175,val,23,23,2,6,15,0,2,3,4,0,5,0.6521739130434783,0.0,0.08695652173913043,0,0,0,0,0,0
DAMIMAS_A21B_0176,val,19,19,5,2,8,4,4,2,4,3,2,0.42105263157894735,0.21052631578947367,0.2631578947368421,0,0,0,0,0,0
DAMIMAS_A21B_0177,val,24,24,0,6,13,5,0,4,4,4,4,0.5416666666666666,0.20833333333333334,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0178,val,20,20,2,4,8,6,2,3,4,4,2,0.4,0.3,0.1,1,1,1,1,1,1
DAMIMAS_A21B_0179,val,22,22,0,3,13,6,0,3,4,4,4,0.5909090909090909,0.2727272727272727,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0180,val,24,24,0,1,14,9,0,1,4,4,4,0.5833333333333334,0.375,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0181,val,21,21,0,0,16,5,0,0,4,4,4,0.7619047619047619,0.23809523809523808,0.0,1,1,1,1,1,1
