T_y,T_s,lam_s,lam_adj,iou_intra,T_cost,adjacent_only,T_y_opp,mutual_best,per_class_T_y,n,pct_exact,pct_within_1,pct_within_2,mae_total,mae_B1,mae_B2,mae_B3,mae_B4
0.15,3.0,0.0,0.03,0.5,0.180001,False,,False,{'B3': 0.07},197,0.08629441624365482,0.29949238578680204,0.47715736040609136,2.66497461928934,0.29949238578680204,0.6802030456852792,1.3604060913705585,0.5989847715736041
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,False,{},197,0.06091370558375635,0.22842639593908629,0.4010152284263959,3.0761421319796955,0.2893401015228426,0.6700507614213198,1.8121827411167513,0.5685279187817259
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,False,{'B3': 0.03},197,0.16243654822335024,0.47715736040609136,0.6903553299492385,1.9289340101522843,0.2893401015228426,0.6700507614213198,1.0101522842639594,0.5685279187817259
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,False,{'B3': 0.05},197,0.15736040609137056,0.41624365482233505,0.6446700507614214,2.1472081218274113,0.2893401015228426,0.6700507614213198,1.0456852791878173,0.5685279187817259
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,False,{'B3': 0.07},197,0.1116751269035533,0.3350253807106599,0.5329949238578681,2.4771573604060912,0.2893401015228426,0.6700507614213198,1.2436548223350254,0.5685279187817259
0.15,3.0,0.0,0.03,0.5,0.180001,False,,True,{},197,0.07106598984771574,0.17258883248730963,0.41116751269035534,3.1421319796954315,0.4213197969543147,0.6649746192893401,1.715736040609137,0.5126903553299492
0.15,3.0,0.0,0.03,0.5,0.180001,False,,True,{'B3': 0.03},197,0.06091370558375635,0.16243654822335024,0.38578680203045684,3.218274111675127,0.4213197969543147,0.6649746192893401,1.8020304568527918,0.5126903553299492
0.15,3.0,0.0,0.03,0.5,0.180001,False,,True,{'B3': 0.05},197,0.06598984771573604,0.17258883248730963,0.40609137055837563,3.1421319796954315,0.4213197969543147,0.6649746192893401,1.715736040609137,0.5126903553299492
0.15,3.0,0.0,0.03,0.5,0.180001,False,,True,{'B3': 0.07},197,0.06598984771573604,0.17258883248730963,0.40609137055837563,3.1522842639593907,0.4213197969543147,0.6649746192893401,1.7258883248730965,0.5126903553299492
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,True,{},197,0.06598984771573604,0.16751269035532995,0.40609137055837563,3.1624365482233503,0.4213197969543147,0.6751269035532995,1.7208121827411167,0.5076142131979695
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,True,{'B3': 0.03},197,0.06091370558375635,0.15736040609137056,0.38071065989847713,3.233502538071066,0.4213197969543147,0.6751269035532995,1.8020304568527918,0.5076142131979695
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,True,{'B3': 0.05},197,0.06598984771573604,0.16751269035532995,0.4010152284263959,3.1776649746192893,0.4213197969543147,0.6751269035532995,1.736040609137056,0.5076142131979695
0.15,3.0,0.0,0.03,0.5,0.180001,False,0.03,True,{'B3': 0.07},197,0.06598984771573604,0.16751269035532995,0.4010152284263959,3.1725888324873095,0.4213197969543147,0.6751269035532995,1.7309644670050761,0.5076142131979695
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,False,{},197,0.04568527918781726,0.19289340101522842,0.37055837563451777,3.233502538071066,0.29949238578680204,0.6852791878172588,1.898477157360406,0.583756345177665
