tree_id,split,M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp,any_pass,winners
DAMIMAS_A21B_0374,train,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,"M01,M03,M05,M06,M07,M08,M30,M31,M33,vis,sid,gmb,med"
DAMIMAS_A21B_0375,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0376,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0377,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0378,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0379,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0380,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0381,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0382,train,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,"M01,M03,M05,M16,M19,M30,M31,M33,gmb,adp"
DAMIMAS_A21B_0383,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0384,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0385,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0386,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0387,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0388,val,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMIMAS_A21B_0389,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMIMAS_A21B_0390,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0391,val,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0392,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0393,train,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0394,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0395,train,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,"M01,M19,M31,adp"
DAMIMAS_A21B_0396,train,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,"M01,M19,M31,adp"
DAMIMAS_A21B_0397,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0398,val,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
