method,acc_within1_pct,exact_profile_acc_pct,macro_class_MAE,total_count_MAE,total_count_within1_pct,n_fail,MAE_B1,MAE_B2,MAE_B3,MAE_B4,bias_B1,bias_B2,bias_B3,bias_B4,split,n
M01_selector_b2b3,88.14691151919867,26.37729549248748,0.3789649415692822,1.342237061769616,75.79298831385643,71,0.1686143572621035,0.31385642737896496,0.7128547579298832,0.32053422370617696,0.1352253756260434,0.18697829716193656,0.22203672787979967,-0.09015025041736227,train,599
M05_blend_vis_divide,87.81302170283807,25.041736227045075,0.3902337228714524,1.343906510851419,75.62604340567613,73,0.2036727879799666,0.3121869782971619,0.7262103505843072,0.31886477462437396,0.19031719532554256,0.13856427378964942,0.20868113522537562,-0.17195325542570952,train,599
M30_side_aware_divide,87.81302170283807,24.707846410684475,0.31051752921535897,1.0484140233722872,74.79131886477462,73,0.12520868113522537,0.22370617696160267,0.5759599332220368,0.31719532554257096,0.05843071786310518,-0.09682804674457429,-0.021702838063439065,-0.00333889816360601,train,599
M33_refined_divide,87.81302170283807,26.71118530884808,0.31093489148580966,1.0534223706176962,72.95492487479132,73,0.11352253756260434,0.20701168614357263,0.6227045075125208,0.3005008347245409,0.02671118530884808,-0.04340567612687813,-0.038397328881469114,-0.03005008347245409,train,599
M53_three_band_override,89.20454545454545,26.136363636363637,0.3053977272727273,1.0284090909090908,75.56818181818183,19,0.07954545454545454,0.29545454545454547,0.5738636363636364,0.2727272727272727,0.06818181818181818,0.1590909090909091,0.0625,0.045454545454545456,val,176
M52_two_band_override,88.63636363636364,26.704545454545453,0.3025568181818182,0.9943181818181818,77.27272727272727,20,0.07954545454545454,0.29545454545454547,0.5681818181818182,0.26704545454545453,0.06818181818181818,0.14772727272727273,0.022727272727272728,0.017045454545454544,val,176
M31_side_aware_selector,86.93181818181817,27.84090909090909,0.3025568181818182,0.9715909090909091,78.4090909090909,23,0.07954545454545454,0.3181818181818182,0.5795454545454546,0.23295454545454544,0.07954545454545454,0.19318181818181818,0.022727272727272728,-0.07386363636363637,val,176
M30_side_aware_divide,86.36363636363636,24.431818181818183,0.31107954545454547,1.0284090909090908,75.56818181818183,24,0.08522727272727272,0.2727272727272727,0.5795454545454546,0.3068181818181818,0.07386363636363637,0.045454545454545456,0.03409090909090909,0.11363636363636363,val,176
M33_refined_divide,85.22727272727273,21.59090909090909,0.32954545454545453,1.0909090909090908,72.1590909090909,26,0.07954545454545454,0.3125,0.6363636363636364,0.2897727272727273,0.06818181818181818,0.09659090909090909,-0.011363636363636364,0.08522727272727272,val,176
M01_selector_b2b3,83.52272727272727,27.27272727272727,0.37926136363636365,1.2897727272727273,75.0,29,0.17613636363636365,0.42613636363636365,0.6875,0.22727272727272727,0.17613636363636365,0.30113636363636365,0.1875,-0.07954545454545454,val,176
M05_blend_vis_divide,82.38636363636364,28.97727272727273,0.3764204545454546,1.2443181818181819,76.70454545454545,31,0.20454545454545456,0.39204545454545453,0.6875,0.2215909090909091,0.20454545454545456,0.2556818181818182,0.19886363636363635,-0.11931818181818182,val,176
M53_three_band_override,90.93567251461988,26.31578947368421,0.2989766081871345,1.0497076023391814,74.85380116959064,31,0.09064327485380116,0.2573099415204678,0.5789473684210527,0.26900584795321636,0.06140350877192982,0.06432748538011696,0.04678362573099415,0.011695906432748537,val+test,342
M52_two_band_override,90.05847953216374,26.900584795321635,0.2989766081871345,1.0321637426900585,76.0233918128655,34,0.09064327485380116,0.2573099415204678,0.5818713450292398,0.26608187134502925,0.06140350877192982,0.05263157894736842,0.014619883040935672,-0.02631578947368421,val+test,342
M31_side_aware_selector,89.18128654970761,27.77777777777778,0.29897660818713445,1.0029239766081872,76.0233918128655,37,0.09649122807017543,0.26900584795321636,0.5730994152046783,0.2573099415204678,0.07894736842105263,0.0935672514619883,0.011695906432748537,-0.09941520467836257,val+test,342
M30_side_aware_divide,88.01169590643275,26.31578947368421,0.3055555555555556,1.0350877192982457,74.26900584795322,41,0.08771929824561403,0.260233918128655,0.5789473684210527,0.2953216374269006,0.07017543859649122,-0.049707602339181284,0.005847953216374269,0.06725146198830409,val+test,342
M33_refined_divide,87.71929824561403,24.269005847953213,0.3121345029239766,1.0730994152046784,73.68421052631578,42,0.07894736842105263,0.26900584795321636,0.6111111111111112,0.2894736842105263,0.06140350877192982,-0.005847953216374269,-0.008771929824561403,0.043859649122807015,val+test,342
M01_selector_b2b3,86.54970760233918,27.192982456140353,0.35380116959064334,1.2280701754385965,73.68421052631578,46,0.15497076023391812,0.3304093567251462,0.6754385964912281,0.2543859649122807,0.13742690058479531,0.16666666666666666,0.15497076023391812,-0.1023391812865497,val+test,342
M05_blend_vis_divide,85.38011695906432,26.608187134502927,0.3669590643274854,1.2514619883040936,73.68421052631578,50,0.17543859649122806,0.3216374269005848,0.695906432748538,0.27485380116959063,0.17543859649122806,0.13450292397660818,0.15204678362573099,-0.16374269005847952,val+test,342
