tree_id,n_sides,n_total,class,naive,gt,ratio,class_frac
DAMIMAS_A21B_0097,4,22,B1,1,1,1.0,0.045454545454545456
DAMIMAS_A21B_0097,4,22,B2,4,2,2.0,0.18181818181818182
DAMIMAS_A21B_0097,4,22,B3,12,6,2.0,0.5454545454545454
DAMIMAS_A21B_0097,4,22,B4,5,3,1.6666666666666667,0.22727272727272727
DAMIMAS_A21B_0098,4,19,B2,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0098,4,19,B3,8,4,2.0,0.42105263157894735
DAMIMAS_A21B_0098,4,19,B4,9,5,1.8,0.47368421052631576
DAMIMAS_A21B_0099,4,24,B1,5,2,2.5,0.20833333333333334
DAMIMAS_A21B_0099,4,24,B2,8,4,2.0,0.3333333333333333
DAMIMAS_A21B_0099,4,24,B3,9,5,1.8,0.375
DAMIMAS_A21B_0099,4,24,B4,2,1,2.0,0.08333333333333333
DAMIMAS_A21B_0101,4,15,B1,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0101,4,15,B2,7,3,2.3333333333333335,0.4666666666666667
DAMIMAS_A21B_0101,4,15,B3,6,3,2.0,0.4
DAMIMAS_A21B_0102,4,18,B3,16,7,2.2857142857142856,0.8888888888888888
DAMIMAS_A21B_0102,4,18,B4,2,1,2.0,0.1111111111111111
DAMIMAS_A21B_0104,4,27,B1,4,2,2.0,0.14814814814814814
DAMIMAS_A21B_0104,4,27,B2,6,3,2.0,0.2222222222222222
DAMIMAS_A21B_0104,4,27,B3,9,5,1.8,0.3333333333333333
DAMIMAS_A21B_0104,4,27,B4,8,5,1.6,0.2962962962962963
DAMIMAS_A21B_0105,4,21,B1,4,2,2.0,0.19047619047619047
DAMIMAS_A21B_0105,4,21,B2,3,2,1.5,0.14285714285714285
DAMIMAS_A21B_0105,4,21,B3,13,8,1.625,0.6190476190476191
DAMIMAS_A21B_0105,4,21,B4,1,1,1.0,0.047619047619047616
DAMIMAS_A21B_0108,4,17,B1,3,1,3.0,0.17647058823529413
DAMIMAS_A21B_0108,4,17,B2,5,3,1.6666666666666667,0.29411764705882354
DAMIMAS_A21B_0108,4,17,B3,7,4,1.75,0.4117647058823529
DAMIMAS_A21B_0108,4,17,B4,2,1,2.0,0.11764705882352941
DAMIMAS_A21B_0109,4,20,B1,2,1,2.0,0.1
DAMIMAS_A21B_0109,4,20,B2,5,2,2.5,0.25
DAMIMAS_A21B_0109,4,20,B3,9,5,1.8,0.45
DAMIMAS_A21B_0109,4,20,B4,4,3,1.3333333333333333,0.2
DAMIMAS_A21B_0110,4,8,B3,3,2,1.5,0.375
DAMIMAS_A21B_0110,4,8,B4,5,2,2.5,0.625
DAMIMAS_A21B_0111,4,24,B2,2,1,2.0,0.08333333333333333
DAMIMAS_A21B_0111,4,24,B3,16,8,2.0,0.6666666666666666
DAMIMAS_A21B_0111,4,24,B4,6,3,2.0,0.25
DAMIMAS_A21B_0112,4,12,B2,4,2,2.0,0.3333333333333333
DAMIMAS_A21B_0112,4,12,B3,8,4,2.0,0.6666666666666666
DAMIMAS_A21B_0113,4,15,B2,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0113,4,15,B3,11,6,1.8333333333333333,0.7333333333333333
DAMIMAS_A21B_0113,4,15,B4,2,1,2.0,0.13333333333333333
