method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
stack_3,"{'corrected': 0.6, 'graph': 0.2, 'adaptive_ridge': 0.0}",0.58,57.89,2.32,52.09,228
stack_3,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.2}",0.6053,57.89,2.42,51.84,228
stack_3,"{'corrected': 0.4, 'graph': 0.2, 'adaptive_ridge': 0.2}",0.5822,56.58,2.33,50.76,228
stack_3,"{'corrected': 0.2, 'graph': 0.2, 'adaptive_ridge': 0.4}",0.5921,56.58,2.37,50.66,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.33}",0.6798,57.02,2.72,50.22,228
visibility,"{'alpha': 3.0, 'sigma': 0.12}",0.6327,56.14,2.53,49.81,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",0.6831,56.58,2.73,49.75,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.33}",0.6743,56.14,2.7,49.4,228
stack_3,"{'corrected': 0.0, 'graph': 0.2, 'adaptive_ridge': 0.6}",0.5998,55.26,2.4,49.27,228
visibility,"{'alpha': 4.0, 'sigma': 0.08}",0.6623,54.39,2.65,47.76,228
visibility,"{'alpha': 0.5, 'sigma': 0.3}",0.6864,52.19,2.75,45.33,228
visibility,"{'alpha': 3.0, 'sigma': 0.08}",0.6721,51.75,2.69,45.03,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.66}",0.693,50.88,2.77,43.95,228
stack_3,"{'corrected': 0.4, 'graph': 0.4, 'adaptive_ridge': 0.0}",0.6765,49.12,2.71,42.36,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.66}",0.8564,50.88,3.43,42.31,228
visibility,"{'alpha': 2.0, 'sigma': 0.2}",0.6996,49.12,2.8,42.13,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.66}",0.8399,50.44,3.36,42.04,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 0.2}",0.6743,48.68,2.7,41.94,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 0.4}",0.682,48.68,2.73,41.86,228
stack_3,"{'corrected': 0.6, 'graph': 0.6, 'adaptive_ridge': 0.0}",0.7697,48.25,3.08,40.55,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",0.6721,46.93,2.69,40.21,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.66, 'rich_cluster': 0.0}",0.8575,48.68,3.43,40.11,228
stack_3,"{'corrected': 0.4, 'graph': 0.6, 'adaptive_ridge': 0.2}",0.7697,47.81,3.08,40.11,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.33}",0.6765,46.49,2.71,39.73,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.66}",0.8575,48.25,3.43,39.67,228
stack_3,"{'corrected': 0.2, 'graph': 0.6, 'adaptive_ridge': 0.4}",0.773,47.37,3.09,39.64,228
stack_3,"{'corrected': 0.0, 'graph': 0.6, 'adaptive_ridge': 0.6}",0.7774,47.37,3.11,39.59,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 1.0, 'rich_cluster': 0.0}",0.8432,47.81,3.37,39.38,228
stack_3,"{'corrected': 0.4, 'graph': 0.6, 'adaptive_ridge': 0.0}",0.7686,46.93,3.07,39.24,228
stack_3,"{'corrected': 0.2, 'graph': 0.6, 'adaptive_ridge': 0.2}",0.7675,46.49,3.07,38.82,228
stack_3,"{'corrected': 0.0, 'graph': 0.6, 'adaptive_ridge': 0.4}",0.7763,46.05,3.11,38.29,228
