tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0258,train,class_aware_vis,True,17,0.0,4.0,2.5,1.5,0.0288,1,0,0,2,6,2,0,2,7,2
DAMIMAS_A21B_0591,train,adaptive_corrected,False,23,4.0,3.0,3.0,1.0,0.0,0,0,2,5,5,1,2,5,5,1
DAMIMAS_A21B_0016,train,adaptive_corrected,False,8,1.0,0.0,2.3333,0.0,0.0,0,0,0,0,4,0,1,0,4,0
DAMIMAS_A21B_0259,train,class_aware_vis,True,18,2.0,3.6667,2.5,0.0,0.0,0,0,1,7,3,0,1,8,3,0
DAMIMAS_A21B_0592,train,adaptive_corrected,False,14,2.0,2.0,3.3333,0.0,0.0,0,0,1,1,5,0,1,1,6,0
DAMIMAS_A21B_0017,train,adaptive_corrected,True,17,0.0,2.0,3.0,3.0,0.1271,0,0,0,1,3,5,0,1,3,4
DAMIMAS_A21B_0260,train,adaptive_corrected,False,20,2.0,3.3333,3.0,2.0,0.0548,0,0,1,6,3,1,1,5,3,2
DAMIMAS_A21B_0593,train,adaptive_corrected,False,5,0.0,0.0,2.0,1.5,0.0119,0,0,0,0,1,2,0,0,1,2
DAMIMAS_A21B_0018,train,adaptive_corrected,False,11,2.0,0.0,3.5,2.0,0.0082,0,0,1,0,4,1,1,0,3,1
DAMIMAS_A21B_0261,train,adaptive_corrected,False,27,2.0,2.6667,2.3333,3.0,0.0947,0,0,3,5,4,4,3,5,5,3
DAMIMAS_A21B_0594,train,adaptive_corrected,False,25,3.5,4.0,3.0,2.0,0.0464,1,0,4,5,4,3,4,5,3,3
DAMIMAS_A21B_0019,train,adaptive_corrected,False,25,2.0,0.0,3.75,3.0,0.0993,1,0,2,0,9,4,2,0,8,3
DAMIMAS_A21B_0262,train,adaptive_corrected,False,24,2.0,3.0,3.5,1.5,0.031,0,0,2,2,8,2,2,2,7,2
DAMIMAS_A21B_0595,train,adaptive_corrected,False,24,2.5,4.0,3.6667,0.0,0.0,0,0,3,5,6,0,3,4,6,0
DAMIMAS_A21B_0020,train,adaptive_corrected,False,16,2.0,2.0,3.5,2.5,0.1194,0,0,1,1,4,3,1,1,4,3
DAMIMAS_A21B_0263,train,class_aware_vis,True,21,0.0,3.5,2.5,2.0,0.0067,0,0,0,9,3,1,0,7,3,1
