tree_id,split,has_json,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,feature_cluster_B1,feature_cluster_B2,feature_cluster_B3,feature_cluster_B4,feature_cluster_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,learned_graph_B1,learned_graph_B2,learned_graph_B3,learned_graph_B4,learned_graph_total,hungarian_match_B1,hungarian_match_B2,hungarian_match_B3,hungarian_match_B4,hungarian_match_total,cascade_match_B1,cascade_match_B2,cascade_match_B3,cascade_match_B4,cascade_match_total
DAMIMAS_A21B_0256,train,True,3,3,0,2,1,0,3,0,1,1,0,2,0,1,1,0,2,0,1,1,0,2,0,1,1,0,2,0,1,1,0,2,0,1,1,0,2
DAMIMAS_A21B_0257,train,True,18,4,2,5,10,1,18,1,3,6,1,11,2,1,1,1,5,1,3,5,1,10,2,1,2,1,6,2,2,5,1,10,2,1,1,1,5
DAMIMAS_A21B_0258,train,True,17,4,0,4,11,2,17,0,2,6,1,9,0,1,1,1,3,0,2,6,1,9,0,1,1,2,4,0,1,4,2,7,0,1,1,1,3
DAMIMAS_A21B_0259,train,True,18,4,3,10,5,0,18,2,6,3,0,11,1,1,1,0,3,2,5,3,0,10,1,1,1,0,3,1,3,1,0,5,1,1,1,0,3
DAMIMAS_A21B_0260,train,True,19,4,2,7,6,4,19,1,4,3,2,10,1,1,1,1,4,1,4,3,2,10,1,1,1,2,5,1,3,1,2,7,1,1,1,1,4
DAMIMAS_A21B_0261,train,True,26,4,5,5,12,4,26,3,3,7,2,15,1,1,1,1,4,3,3,6,2,14,1,1,1,1,4,2,2,3,2,9,1,1,1,1,4
DAMIMAS_A21B_0262,train,True,23,4,3,5,12,3,23,2,3,7,2,14,1,1,1,1,4,2,3,6,2,13,1,1,1,1,4,2,2,4,2,10,1,1,1,1,4
DAMIMAS_A21B_0263,train,True,21,4,2,12,5,2,21,1,7,3,1,12,1,1,1,1,4,1,6,3,1,11,2,1,1,1,5,2,2,1,1,6,1,1,1,1,4
DAMIMAS_A21B_0264,train,True,22,4,6,4,5,7,22,3,2,3,4,12,1,1,1,1,4,3,2,3,4,12,1,1,1,1,4,2,2,1,2,7,1,1,1,1,4
DAMIMAS_A21B_0265,train,True,22,4,2,3,16,1,22,1,2,9,1,13,1,1,1,1,4,1,2,9,1,13,1,1,1,1,4,1,2,5,1,9,1,1,1,1,4
DAMIMAS_A21B_0266,train,True,21,4,3,5,12,1,21,2,3,7,1,13,1,1,1,1,4,2,3,6,1,12,1,1,1,1,4,1,1,3,1,6,1,1,1,1,4
DAMIMAS_A21B_0267,train,True,20,4,3,7,9,1,20,2,4,5,1,12,1,1,1,1,4,2,4,5,1,12,1,1,1,1,4,1,1,3,1,6,1,1,1,1,4
DAMIMAS_A21B_0268,train,True,27,4,6,6,5,10,27,3,3,3,6,15,1,1,1,1,4,3,3,3,5,14,1,1,1,1,4,2,1,2,3,8,1,1,1,1,4
DAMIMAS_A21B_0269,train,True,11,4,0,0,11,0,11,0,0,6,0,6,0,0,1,0,1,0,0,6,0,6,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1
DAMIMAS_A21B_0270,train,True,16,4,3,2,10,1,16,2,1,6,1,10,1,1,1,1,4,2,1,5,1,9,1,2,1,1,5,1,2,3,1,7,1,1,1,1,4
DAMIMAS_A21B_0271,train,True,21,4,0,9,9,3,21,0,5,5,2,12,0,2,2,1,5,0,5,5,2,12,0,3,3,1,7,0,5,5,1,11,0,2,2,1,5
DAMIMAS_A21B_0272,train,True,17,4,3,1,9,4,17,2,1,5,2,10,1,1,1,1,4,2,1,5,2,10,1,1,3,1,6,2,1,5,2,10,2,1,3,1,7
DAMIMAS_A21B_0273,train,True,16,4,0,5,11,0,16,0,3,6,0,9,0,1,1,0,2,0,3,6,0,9,0,1,1,0,2,0,2,3,0,5,0,1,1,0,2
DAMIMAS_A21B_0274,train,True,19,4,1,1,13,4,19,1,1,7,2,11,1,1,1,1,4,1,1,7,2,11,1,1,1,2,5,1,1,2,2,6,1,1,1,1,4
DAMIMAS_A21B_0275,train,True,26,4,5,12,7,2,26,3,7,4,1,15,1,1,1,1,4,3,6,4,1,14,1,1,1,1,4,2,2,1,1,6,1,1,1,1,4
DAMIMAS_A21B_0276,train,True,10,4,2,4,3,1,10,1,2,2,1,6,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
