method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.5}",0.4945,68.86,1.98,63.91,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.75}",0.5428,69.3,2.17,63.87,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.75}",0.5537,69.3,2.21,63.76,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.0, 'ridge': 1.0}",0.5559,68.42,2.22,62.86,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.5}",0.614,68.42,2.46,62.28,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.5}",0.6228,67.98,2.49,61.75,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.5}",0.6173,67.54,2.47,61.37,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.75}",0.6853,67.54,2.74,60.69,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.75}",0.6908,66.23,2.76,59.32,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.5}",0.6272,65.35,2.51,59.08,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.75}",0.7368,66.23,2.95,58.86,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.75}",0.5362,64.04,2.14,58.67,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.75}",0.6996,65.35,2.8,58.36,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.75}",0.7511,64.47,3.0,56.96,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.75}",0.5482,62.28,2.19,56.8,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.5}",0.6897,63.6,2.76,56.7,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.5}",0.6338,62.72,2.54,56.38,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.5}",0.6974,63.16,2.79,56.18,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.5}",0.705,63.16,2.82,56.11,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.5}",0.7018,61.84,2.81,54.82,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.5}",0.7182,61.84,2.87,54.66,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.5}",0.6338,60.96,2.54,54.63,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.75}",0.7226,61.84,2.89,54.62,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.5}",0.7072,60.96,2.83,53.89,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.75}",0.8114,61.84,3.25,53.73,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.5}",0.6393,60.09,2.56,53.7,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.75}",0.7599,60.96,3.04,53.37,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.75}",0.8081,60.53,3.23,52.45,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.75}",0.8092,60.53,3.24,52.43,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.75}",0.7719,60.09,3.09,52.37,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.5}",0.6425,58.77,2.57,52.35,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.5}",0.6502,58.77,2.6,52.27,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.5}",0.5702,57.89,2.28,52.19,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.5}",0.6382,58.33,2.55,51.95,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.5}",0.7336,59.21,2.93,51.87,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.75}",0.8246,60.09,3.3,51.84,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.75}",0.7752,58.77,3.1,51.02,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.5}",0.739,58.33,2.96,50.94,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.5}",0.659,57.46,2.64,50.87,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.75}",0.7807,58.33,3.12,50.53,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.5}",0.7379,57.46,2.95,50.08,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.5}",0.7379,57.46,2.95,50.08,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.0, 'ridge': 1.0}",0.8333,57.89,3.33,49.56,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.75}",0.8476,57.89,3.39,49.42,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.75}",0.8213,57.46,3.29,49.24,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.5}",0.6612,55.7,2.64,49.09,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.75}",0.8487,57.46,3.39,48.97,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.75}",0.8202,56.58,3.28,48.38,228
ensemble,"{'lg': 1.0, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.5}",0.8081,56.14,3.23,48.06,228
ensemble,"{'lg': 0.5, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.5}",0.8202,56.14,3.28,47.94,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.75}",0.8257,55.7,3.3,47.45,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.5}",0.6151,53.51,2.46,47.36,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.75}",0.8564,55.7,3.43,47.14,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.5}",0.6875,53.95,2.75,47.07,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.5}",0.6952,53.95,2.78,47.0,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.5}",0.8136,54.82,3.25,46.69,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.25, 'ridge': 1.0}",0.875,54.82,3.5,46.07,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.25, 'ridge': 1.0}",0.8432,54.39,3.37,45.95,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.5}",0.8191,53.95,3.28,45.76,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.5}",0.8202,53.95,3.28,45.75,228
ensemble,"{'lg': 0.0, 'hm': 1.0, 'cm': 0.0, 'ridge': 0.5}",0.8695,54.39,3.48,45.69,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 1.0, 'ridge': 0.5}",0.8311,53.95,3.32,45.64,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.0, 'ridge': 1.0}",0.8816,54.39,3.53,45.57,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.5}",0.7961,53.51,3.18,45.55,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.5}",0.8246,53.51,3.3,45.26,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.5, 'ridge': 1.0}",0.8783,53.95,3.51,45.16,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.5}",0.7928,53.07,3.17,45.14,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.5}",0.6195,51.32,2.48,45.12,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.5}",0.727,52.19,2.91,44.92,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.5, 'ridge': 0.5}",0.8322,53.07,3.33,44.75,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.5}",0.7018,51.75,2.81,44.74,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.5}",0.7303,51.75,2.92,44.45,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.5}",0.8542,52.19,3.42,43.65,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.5}",0.8114,51.75,3.25,43.64,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.5}",0.8575,52.19,3.43,43.62,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.75}",0.6404,50.0,2.56,43.6,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.75}",0.852,51.75,3.41,43.23,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.5}",0.6338,49.12,2.54,42.79,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.5}",0.8586,51.32,3.43,42.73,228
ensemble,"{'lg': 0.0, 'hm': 1.0, 'cm': 0.0, 'ridge': 0.25}",0.6513,49.12,2.61,42.61,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.75}",0.966,51.75,3.86,42.09,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.75}",0.9704,51.75,3.88,42.05,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.75, 'ridge': 1.0}",0.9024,50.88,3.61,41.85,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.75}",0.8816,50.44,3.53,41.62,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.75}",0.9781,50.88,3.91,41.1,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.75}",0.9781,50.88,3.91,41.1,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.5, 'ridge': 0.25}",0.7632,48.68,3.05,41.05,228
ensemble,"{'lg': 0.5, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.25}",0.7686,48.68,3.07,41.0,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.5}",0.7456,48.25,2.98,40.79,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.25}",0.7632,48.25,3.05,40.61,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.25}",0.6886,47.37,2.75,40.48,228
ensemble,"{'lg': 0.25, 'hm': 1.0, 'cm': 0.0, 'ridge': 0.25}",0.8279,48.68,3.31,40.41,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.0, 'ridge': 1.0}",0.9298,49.56,3.72,40.26,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.75}",0.9868,50.0,3.95,40.13,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.5}",0.8235,48.25,3.29,40.01,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 1.0, 'ridge': 0.5}",0.9167,49.12,3.67,39.96,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.25}",0.7018,46.93,2.81,39.91,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.25, 'ridge': 1.0}",0.932,49.12,3.73,39.8,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.5}",0.9408,48.68,3.76,39.28,228
ensemble,"{'lg': 1.0, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.5}",0.9243,48.25,3.7,39.0,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.75}",1.0,48.68,4.0,38.68,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.5}",0.9265,47.81,3.71,38.54,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.5}",0.7555,46.05,3.02,38.5,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.5}",0.682,45.18,2.73,38.36,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 1.0, 'ridge': 0.5}",0.955,47.37,3.82,37.82,228
ensemble,"{'lg': 0.0, 'hm': 1.0, 'cm': 0.25, 'ridge': 0.25}",0.8311,46.05,3.32,37.74,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.75, 'ridge': 0.25}",0.8443,46.05,3.38,37.61,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.5}",0.932,46.93,3.73,37.61,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.75}",0.9792,47.37,3.92,37.58,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.5, 'ridge': 1.0}",0.9496,46.93,3.8,37.43,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.5}",0.8344,45.61,3.34,37.27,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.5}",0.943,46.49,3.77,37.06,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.5}",0.6875,43.86,2.75,36.98,228
ensemble,"{'lg': 0.5, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.5}",0.9342,46.05,3.74,36.71,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.25, 'ridge': 1.0}",1.0033,46.49,4.01,36.46,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.0, 'ridge': 1.0}",0.9715,46.05,3.89,36.34,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.5}",0.8465,44.3,3.39,35.83,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.5, 'ridge': 0.25}",0.8465,44.3,3.39,35.83,228
ensemble,"{'lg': 0.75, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.5}",0.9342,45.18,3.74,35.83,228
ensemble,"{'lg': 0.5, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.25}",0.8553,44.3,3.42,35.75,228
ensemble,"{'lg': 0.75, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.25}",0.8575,44.3,3.43,35.72,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.5, 'ridge': 0.5}",0.9518,45.18,3.81,35.66,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 1.0, 'ridge': 0.25}",0.7961,43.42,3.18,35.46,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.75, 'ridge': 0.5}",0.9583,44.74,3.83,35.15,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.25}",0.7982,42.98,3.19,35.0,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 1.0, 'ridge': 0.25}",0.8882,43.86,3.55,34.98,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.25}",0.8103,42.54,3.24,34.44,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.25, 'ridge': 1.0}",0.9901,43.86,3.96,33.96,228
ensemble,"{'lg': 1.0, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.5}",0.8684,42.54,3.47,33.86,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.25}",0.8783,42.54,3.51,33.76,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.75}",1.0121,43.86,4.05,33.74,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.75, 'ridge': 0.25}",0.8871,42.54,3.55,33.67,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.25}",0.8081,41.67,3.23,33.59,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 1.0, 'ridge': 0.25}",0.9002,42.54,3.6,33.54,228
ensemble,"{'lg': 0.0, 'hm': 1.0, 'cm': 0.5, 'ridge': 0.25}",0.864,42.11,3.46,33.46,228
ensemble,"{'lg': 0.25, 'hm': 1.0, 'cm': 0.25, 'ridge': 0.25}",0.8651,42.11,3.46,33.45,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.75}",1.0164,43.42,4.07,33.26,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.75, 'ridge': 1.0}",0.977,42.98,3.91,33.21,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 1.0, 'ridge': 1.0}",0.9792,42.98,3.92,33.19,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.25}",0.8618,41.67,3.45,33.05,228
ensemble,"{'lg': 0.5, 'hm': 0.75, 'cm': 0.5, 'ridge': 0.25}",0.8805,41.67,3.52,32.86,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.75}",1.0132,42.98,4.05,32.85,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 1.0, 'ridge': 1.0}",1.0274,42.98,4.11,32.71,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.25}",0.9057,41.67,3.62,32.61,228
ensemble,"{'lg': 0.5, 'hm': 1.0, 'cm': 0.0, 'ridge': 0.25}",0.864,41.23,3.46,32.59,228
ensemble,"{'lg': 1.0, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.25}",0.8257,40.79,3.3,32.53,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.25}",0.8882,41.23,3.55,32.35,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.5, 'ridge': 1.0}",1.034,42.54,4.14,32.2,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.75, 'ridge': 1.0}",1.0351,42.54,4.14,32.19,228
ensemble,"{'lg': 0.25, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.25}",0.8651,40.79,3.46,32.14,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.5, 'ridge': 1.0}",1.0022,42.11,4.01,32.08,228
ensemble,"{'lg': 1.0, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.25}",0.932,41.23,3.73,31.91,228
ensemble,"{'lg': 0.25, 'hm': 1.0, 'cm': 0.5, 'ridge': 0.25}",0.9814,41.67,3.93,31.85,228
ensemble,"{'lg': 0.75, 'hm': 0.75, 'cm': 0.5, 'ridge': 0.25}",0.9452,41.23,3.78,31.78,228
ensemble,"{'lg': 0.0, 'hm': 1.0, 'cm': 0.75, 'ridge': 0.25}",0.9912,41.67,3.96,31.75,228
ensemble,"{'lg': 0.5, 'hm': 0.75, 'cm': 0.75, 'ridge': 0.25}",0.955,41.23,3.82,31.68,228
ensemble,"{'lg': 0.75, 'hm': 0.75, 'cm': 0.25, 'ridge': 0.25}",0.8871,40.35,3.55,31.48,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.25}",0.9057,40.35,3.62,31.29,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.5}",0.7325,38.6,2.93,31.27,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.25}",0.8695,39.91,3.48,31.22,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 1.0, 'ridge': 0.25}",0.9605,40.79,3.84,31.18,228
ensemble,"{'lg': 0.75, 'hm': 1.0, 'cm': 0.0, 'ridge': 0.25}",0.966,40.79,3.86,31.13,228
ensemble,"{'lg': 0.5, 'hm': 1.0, 'cm': 0.25, 'ridge': 0.25}",0.9704,40.79,3.88,31.09,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 1.0, 'ridge': 0.25}",0.8936,39.91,3.57,30.98,228
ensemble,"{'lg': 1.0, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.25}",0.8947,39.91,3.58,30.96,228
ensemble,"{'lg': 1.0, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.25}",0.898,39.91,3.59,30.93,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.25}",0.8914,39.47,3.57,30.56,228
ensemble,"{'lg': 0.25, 'hm': 1.0, 'cm': 0.0, 'ridge': 0.5}",0.9693,39.91,3.88,30.22,228
ensemble,"{'lg': 0.75, 'hm': 0.25, 'cm': 0.75, 'ridge': 0.25}",0.8717,38.6,3.49,29.88,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.5}",0.7467,37.28,2.99,29.81,228
ensemble,"{'lg': 0.5, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.25}",0.8794,38.6,3.52,29.8,228
ensemble,"{'lg': 0.0, 'hm': 1.0, 'cm': 0.25, 'ridge': 0.5}",0.9759,39.47,3.9,29.71,228
ensemble,"{'lg': 1.0, 'hm': 0.5, 'cm': 0.5, 'ridge': 0.25}",0.8914,38.6,3.57,29.68,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 1.0, 'ridge': 0.25}",1.0164,39.47,4.07,29.31,228
ensemble,"{'lg': 1.0, 'hm': 0.5, 'cm': 0.75, 'ridge': 0.25}",1.0175,39.47,4.07,29.3,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.25}",0.8279,37.28,3.31,29.0,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.5}",0.7577,36.4,3.03,28.83,228
ensemble,"{'lg': 0.75, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.25}",0.898,36.84,3.59,27.86,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.25}",0.886,36.4,3.54,27.54,228
ensemble,"{'lg': 1.0, 'hm': 0.25, 'cm': 1.0, 'ridge': 0.25}",0.9857,37.28,3.94,27.42,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.5}",0.7654,33.77,3.06,26.12,228
ensemble,"{'lg': 0.25, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.75}",1.0548,36.4,4.22,25.86,228
