tree_id,split,selected_method_v6,selected_method_v9,selector_reason_v9,unstable_gate,total_det,B1_naive,B2_naive,B3_naive,B4_naive,B2_ratio,B3_ratio,B4_ratio,B3_yrange,B4_yrange,pred_B1,pred_B2,pred_B3,pred_B4,gt_B1,gt_B2,gt_B3,gt_B4,ok,error_sum
DAMIMAS_A21B_0589,train,best_visibility_grid,best_visibility_grid,v6_default,True,25,2,4,17,2,2.0,3.4,2.0,0.1582,0.0768,1,2,9,1,1,2,10,1,True,1
DAMIMAS_A21B_0014,train,adaptive_corrected,adaptive_corrected,v6_default,False,18,2,2,8,6,2.0,2.6667,2.0,0.1401,0.128,1,1,4,4,1,1,4,3,True,1
DAMIMAS_A21B_0257,train,class_aware_vis,class_aware_vis,v6_default,True,18,2,6,9,1,3.0,3.0,1.0,0.1853,0.0,1,4,6,1,1,4,7,1,True,1
DAMIMAS_A21B_0590,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,8,4,6,5,4.0,3.0,2.5,0.2103,0.2233,4,2,3,3,4,2,4,4,True,2
DAMIMAS_A21B_0015,train,adaptive_corrected,adaptive_corrected,v6_default,False,26,3,2,14,7,2.0,3.5,2.3333,0.1129,0.0912,2,1,8,4,1,1,7,4,True,2
DAMIMAS_A21B_0258,train,class_aware_vis,class_aware_vis,v6_default,True,17,0,4,10,3,4.0,2.5,1.5,0.1436,0.0288,0,2,6,2,0,2,7,2,True,1
DAMIMAS_A21B_0591,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,4,9,9,1,3.0,3.0,1.0,0.1248,0.0,2,5,5,1,2,5,5,1,True,0
DAMIMAS_A21B_0016,train,adaptive_corrected,adaptive_corrected,v6_default,False,8,1,0,7,0,0.0,2.3333,0.0,0.0742,0.0,0,0,4,0,1,0,4,0,True,1
DAMIMAS_A21B_0259,train,class_aware_vis,class_aware_vis,v6_default,True,18,2,11,5,0,3.6667,2.5,0.0,0.0931,0.0,1,7,3,0,1,8,3,0,True,1
DAMIMAS_A21B_0592,train,adaptive_corrected,adaptive_corrected,v6_default,False,14,2,2,10,0,2.0,3.3333,0.0,0.1538,0.0,1,1,5,0,1,1,6,0,True,1
DAMIMAS_A21B_0017,train,adaptive_corrected,adaptive_corrected,v6_default,True,17,0,2,6,9,2.0,3.0,3.0,0.0696,0.1271,0,1,3,5,0,1,3,4,True,1
DAMIMAS_A21B_0260,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,2,10,6,2,3.3333,3.0,2.0,0.118,0.0548,1,6,3,1,1,5,3,2,True,2
DAMIMAS_A21B_0593,train,adaptive_corrected,adaptive_corrected,v6_default,False,5,0,0,2,3,0.0,2.0,1.5,0.0739,0.0119,0,0,1,2,0,0,1,2,True,0
DAMIMAS_A21B_0018,train,adaptive_corrected,adaptive_corrected,v6_default,False,11,2,0,7,2,0.0,3.5,2.0,0.0425,0.0082,1,0,4,1,1,0,3,1,True,1
DAMIMAS_A21B_0261,train,adaptive_corrected,adaptive_corrected,v6_default,False,27,6,8,7,6,2.6667,2.3333,3.0,0.0755,0.0947,3,5,4,4,3,5,5,3,True,2
