tree_id,split,B1_gt,B1_naive,B1_err,B2_gt,B2_naive,B2_err,B3_gt,B3_naive,B3_err,B4_gt,B4_naive,B4_err,total_gt,total_naive,MAE_overall
DAMIMAS_A21B_0033,train,0,0,0,0,0,0,8,16,8,2,2,0,10,18,2.0
DAMIMAS_A21B_0276,train,1,3,2,1,2,1,3,5,2,0,0,0,5,10,1.25
DAMIMAS_A21B_0609,train,1,2,1,2,4,2,5,8,3,3,5,2,11,19,2.0
DAMIMAS_A21B_0034,train,0,0,0,1,2,1,3,6,3,6,8,2,10,16,1.5
DAMIMAS_A21B_0277,train,1,3,2,3,6,3,5,8,3,0,0,0,9,17,2.0
DAMIMAS_A21B_0610,train,0,0,0,6,11,5,4,6,2,2,3,1,12,20,2.0
DAMIMAS_A21B_0035,train,0,0,0,7,9,2,2,4,2,0,0,0,9,13,1.0
DAMIMAS_A21B_0278,train,2,5,3,4,7,3,6,8,2,0,0,0,12,20,2.0
DAMIMAS_A21B_0611,train,0,0,0,6,11,5,5,9,4,0,0,0,11,20,2.25
DAMIMAS_A21B_0036,train,0,0,0,1,2,1,7,13,6,0,0,0,8,15,1.75
DAMIMAS_A21B_0279,train,0,0,0,5,8,3,9,15,6,1,2,1,15,25,2.5
DAMIMAS_A21B_0612,train,0,0,0,1,1,0,8,13,5,0,0,0,9,14,1.25
DAMIMAS_A21B_0037,train,0,0,0,3,5,2,5,11,6,3,5,2,11,21,2.5
DAMIMAS_A21B_0280,train,2,4,2,3,4,1,4,6,2,4,6,2,13,20,1.75
DAMIMAS_A21B_0613,train,0,0,0,1,2,1,4,6,2,1,2,1,6,10,1.0
DAMIMAS_A21B_0038,train,2,4,2,0,0,0,5,9,4,5,8,3,12,21,2.25
DAMIMAS_A21B_0281,train,0,0,0,0,0,0,10,15,5,5,8,3,15,23,2.0
DAMIMAS_A21B_0614,train,2,3,1,5,10,5,5,7,2,4,5,1,16,25,2.25
DAMIMAS_A21B_0039,train,2,3,1,5,9,4,2,3,1,0,0,0,9,15,1.5
